dataset,repeat,fold,sample,seed,problem_type,sampler,sampler_method,requested_fraction,retained_fraction,n_train_full,n_train_sampled,accuracy,baseline_accuracy,accuracy_delta,rmse,baseline_rmse,rmse_delta,quality_delta,sampling_seconds,fit_seconds,predict_seconds,measured_total_seconds,predict_speedup,total_speedup
diabetes,0,0,0,1,classification,stratified-50,stratified,0.5,0.5,512,256,0.76171875,0.7578125,0.00390625,,,,0.00390625,0.0011064158752560616,0.02193141682073474,83.46099095838144,83.48402879107744,1.6246275413828264,1.6244600340224618
diabetes,0,0,0,1,classification,stratified-25,stratified,0.25,0.25,512,128,0.7890625,0.7578125,0.03125,,,,0.03125,0.00044779200106859207,0.018673874903470278,56.73142045829445,56.75054212519899,2.3900868944709295,2.389694673772428
diabetes,0,0,0,1,classification,stratified-75,stratified,0.75,0.75,512,384,0.7578125,0.7578125,0.0,,,,0.0,0.0011449162848293781,0.023957957979291677,109.10126487538218,109.1263677496463,1.2428180800375397,1.2427470193217842
diabetes,0,0,0,1,classification,full,full,1.0,1.0,512,512,0.7578125,0.7578125,0.0,,,,0.0,0.0005493331700563431,0.022894375026226044,135.59302454208955,135.61646825028583,1.0,1.0
diabetes,0,0,0,1,classification,knn-50,knn,0.5,0.5,512,256,0.75,0.7578125,-0.0078125,,,,-0.0078125,0.009836375247687101,0.026108124759048223,86.06211579218507,86.0980602921918,1.5755251110663744,1.5751396464687235
diabetes,0,0,0,1,classification,random-50,random,0.5,0.5,512,256,0.76953125,0.7578125,0.01171875,,,,0.01171875,0.0016036666929721832,0.022488541901111603,81.01294629229233,81.03703850088641,1.6737204452838181,1.6735121465328773
diabetes,0,0,0,1,classification,knn-75,knn,0.75,0.75,512,384,0.765625,0.7578125,0.0078125,,,,0.0078125,0.008388209156692028,0.020700749941170216,105.71012641629204,105.7392153753899,1.282687185597689,1.2825560296511305
diabetes,0,0,0,1,classification,random-25,random,0.25,0.25,512,128,0.7421875,0.7578125,-0.015625,,,,-0.015625,0.0008539576083421707,0.02585733402520418,54.72850583400577,54.75521712563932,2.477557581296844,2.476777106720356
maternal_health_risk,0,0,0,0,classification,stratified-75,stratified,0.75,0.75,676,507,0.8461538461538461,0.8816568047337278,-0.035502958579881616,,,,-0.035502958579881616,0.0004220833070576191,0.019310624804347754,148.67470195889473,148.69443466700613,1.3210801890787685,1.32103155585631
maternal_health_risk,0,0,0,0,classification,random-25,random,0.25,0.25,676,169,0.6982248520710059,0.8816568047337278,-0.18343195266272183,,,,-0.18343195266272183,0.0010749576613307,0.02041050000116229,77.29222729196772,77.31371274963021,2.5411507761725147,2.540688234847046
maternal_health_risk,0,0,0,0,classification,full,full,1.0,1.0,676,676,0.8816568047337278,0.8816568047337278,0.0,,,,0.0,0.0005248752422630787,0.018312125001102686,196.4112033750862,196.43004037532955,1.0,1.0
maternal_health_risk,0,0,0,0,classification,random-50,random,0.5,0.5,676,338,0.7840236686390533,0.8816568047337278,-0.0976331360946745,,,,-0.0976331360946745,0.0008757081814110279,0.01718654204159975,107.177798749879,107.19586100010201,1.8325735895495607,1.8324405302844913
maternal_health_risk,0,0,0,0,classification,knn-75,knn,0.75,0.75,676,507,0.8698224852071006,0.8816568047337278,-0.011834319526627168,,,,-0.011834319526627168,0.008203750010579824,0.015330249909311533,146.99970641592517,147.02324041584507,1.336133303690789,1.3360475515281853
maternal_health_risk,0,0,0,0,classification,stratified-25,stratified,0.25,0.25,676,169,0.7514792899408284,0.8816568047337278,-0.1301775147928994,,,,-0.1301775147928994,0.0019000833854079247,0.015213000122457743,78.69682658277452,78.71393966628239,2.495795725238017,2.4954924274927586
maternal_health_risk,0,0,0,0,classification,stratified-50,stratified,0.5,0.5,676,338,0.7662721893491125,0.8816568047337278,-0.11538461538461531,,,,-0.11538461538461531,0.0010707499459385872,0.01731370808556676,113.19072679197416,113.20911125000566,1.7352234493206984,1.7351080509901957
maternal_health_risk,0,0,0,0,classification,knn-50,knn,0.5,0.5,676,338,0.8165680473372781,0.8816568047337278,-0.0650887573964497,,,,-0.0650887573964497,0.014642083086073399,0.024189083836972713,113.61266541713849,113.65149658406153,1.7287791167819704,1.728354190479502
maternal_health_risk,0,0,0,0,classification,random-75,random,0.75,0.75,676,507,0.863905325443787,0.8816568047337278,-0.017751479289940808,,,,-0.017751479289940808,0.0008481666445732117,0.019251707941293716,152.3737857923843,152.39388566697016,1.2890091451997179,1.2889627396508059
maternal_health_risk,0,0,0,1,classification,full,full,1.0,1.0,676,676,0.8875739644970414,0.8875739644970414,0.0,,,,0.0,0.0005174167454242706,0.023812625091522932,197.75182329211384,197.7761533339508,1.0,1.0
maternal_health_risk,0,0,0,1,classification,random-50,random,0.5,0.5,676,338,0.7810650887573964,0.8875739644970414,-0.10650887573964496,,,,-0.10650887573964496,0.0021468750201165676,0.019903291016817093,109.10708270827308,109.12913287431002,1.812456335404514,1.8123130654922401
maternal_health_risk,0,0,0,1,classification,knn-75,knn,0.75,0.75,676,507,0.8727810650887574,0.8875739644970414,-0.014792899408283988,,,,-0.014792899408283988,0.007885415572673082,0.015244749840348959,149.7775448341854,149.8006749995984,1.320303544239822,1.3202620971800092
maternal_health_risk,0,0,0,1,classification,knn-50,knn,0.5,0.5,676,338,0.8254437869822485,0.8875739644970414,-0.062130177514792884,,,,-0.062130177514792884,0.020077249966561794,0.015792124904692173,112.76230908324942,112.79817845812067,1.753704982629603,1.7533630067207198
maternal_health_risk,0,0,0,1,classification,random-25,random,0.25,0.25,676,169,0.7603550295857988,0.8875739644970414,-0.1272189349112426,,,,-0.1272189349112426,0.0009292918257415295,0.01649466622620821,79.07163941673934,79.0890633747913,2.5009197324198906,2.500676388045197
maternal_health_risk,0,0,0,1,classification,stratified-25,stratified,0.25,0.25,676,169,0.7455621301775148,0.8875739644970414,-0.14201183431952658,,,,-0.14201183431952658,0.001313791610300541,0.03875929210335016,77.09489883342758,77.13497191714123,2.565044202462467,2.5640270349278524
maternal_health_risk,0,0,0,1,classification,stratified-75,stratified,0.75,0.75,676,507,0.8579881656804734,0.8875739644970414,-0.029585798816567976,,,,-0.029585798816567976,0.002497000154107809,0.0234375,152.9508154168725,152.9767499170266,1.292911206475982,1.292851060316179
maternal_health_risk,0,0,0,1,classification,random-75,random,0.75,0.75,676,507,0.8698224852071006,0.8875739644970414,-0.017751479289940808,,,,-0.017751479289940808,0.0008547087199985981,0.019696000032126904,312.9838477917947,313.0043985005468,0.6318275677397375,0.6318638149540422
maternal_health_risk,0,0,0,1,classification,stratified-50,stratified,0.5,0.5,676,338,0.8165680473372781,0.8875739644970414,-0.07100591715976334,,,,-0.07100591715976334,0.009361792355775833,0.05104449996724725,251.99418137501925,252.05458766734228,0.7847475771586107,0.7846560348862711
concrete_compressive_strength,0,0,0,0,regression,knn-50,knn,0.5,0.5,686,343,,,,4.820494606923391,3.9098516584603376,0.9106429484630532,-0.9106429484630532,0.09036645805463195,0.02933570835739374,153.35187454195693,153.47157670836896,1.4031316532152438,1.402185288359346
concrete_compressive_strength,0,0,0,0,regression,stratified-75,stratified,0.75,0.750728862973761,686,515,,,,3.9142037128118368,3.9098516584603376,0.004352054351499213,-0.004352054351499213,0.001959041692316532,0.019143917132169008,153.4255109578371,153.4466139166616,1.4024582216242016,1.4024133967443733
concrete_compressive_strength,0,0,0,0,regression,stratified-50,stratified,0.5,0.5,686,343,,,,4.43095264519699,3.9098516584603376,0.5211009867366521,-0.5211009867366521,0.005180041771382093,0.026456333231180906,117.55179195804521,117.58342833304778,1.8304516304311964,1.8301523445315748
concrete_compressive_strength,0,0,0,0,regression,random-25,random,0.25,0.25072886297376096,686,172,,,,6.106166140285255,3.9098516584603376,2.196314481824918,-2.196314481824918,0.000871041789650917,0.019071499817073345,85.880802415777,85.90074495738372,2.5054827528041783,2.5051655506427637
concrete_compressive_strength,0,0,0,0,regression,full,full,1.0,1.0,686,686,,,,3.9098516584603376,3.9098516584603376,0.0,0.0,0.0006749997846782207,0.022042792290449142,215.17286924971268,215.1955870417878,1.0,1.0
