dataset,repeat,fold,sample,seed,problem_type,sampler,sampler_method,requested_fraction,retained_fraction,n_train_full,n_train_sampled,accuracy,baseline_accuracy,accuracy_delta,rmse,baseline_rmse,rmse_delta,quality_delta,sampling_seconds,fit_seconds,predict_seconds,measured_total_seconds,predict_speedup,total_speedup
diabetes,0,0,0,0,classification,full,full,1.0,1.0,512,512,0.765625,0.765625,0.0,,,,0.0,0.027800582814961672,0.15202995808795094,131.81788766616955,131.99771820707247,1.0,1.0
diabetes,0,0,0,0,classification,knn-redundancy-50,knn,0.5,0.5,512,256,0.76171875,0.765625,-0.00390625,,,,-0.00390625,0.12577587505802512,0.01947108283638954,90.24931200034916,90.39455895824358,1.46059714744041,1.4602396397337019
maternal_health_risk,0,0,0,0,classification,full,full,1.0,1.0,676,676,0.8816568047337278,0.8816568047337278,0.0,,,,0.0,8.850032463669777e-05,0.01640287507325411,206.13389262463897,206.15038400003687,1.0,1.0
maternal_health_risk,0,0,0,0,classification,knn-redundancy-50,knn,0.5,0.5,676,338,0.8165680473372781,0.8816568047337278,-0.0650887573964497,,,,-0.0650887573964497,0.020857333671301603,0.023995500057935715,107.91698837513104,107.96184120886028,1.9101153185270092,1.909474511473211
